pmid,title,theme,reason
41758132,A Clinician-Guided Framework for Endoscopic AI: Developing PanEndoAtlas and Benchmarking Foundation Models Across the Full GI Spectrum.,T1 Landmark recognition in UGI endoscopy,Eligibility: no term matched required group(s) [1]
42050026,Deep learning-based automatic scoring of drug-induced sleep endoscopy in obstructive sleep apnea.,T1 Landmark recognition in UGI endoscopy,Non-GI endoscopy homonym ('drug-induced sleep endoscopy')
42344394,Mapping malignancy: Multicenter study addressing topographic challenges in biliary stricture artificial intelligence analysis.,T1 Landmark recognition in UGI endoscopy,Not a luminal GI-tract study
35251578,Proposing Novel Data Analytics Method for Anatomical Landmark Identification from Endoscopic Video Frames.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 13 > cap 12)
31641370,Deep Convolutional Neural Network for Ulcer Recognition in Wireless Capsule Endoscopy: Experimental Feasibility and Optimization.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 14 > cap 12)
41428176,Using deep vision-language models improves multi-task performance in assistance applications for endoscopic ENT surgery.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 15 > cap 12)
41535450,Effect of Helicobacter pylori infection on deep learning-assisted detection of gastric neoplastic lesions under white light endoscopy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 16 > cap 12)
42266239,Grad-CAM based deep learning analytics for image-level colon disease classification based on graph neural networks and vision transformers.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 17 > cap 12)
42337277,Gastrointestinal endoscopic image classification using a hybrid modified inception network and a customized vision transformer with tree growth feature selection.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 18 > cap 12)
40451513,SNet: A novel convolutional neural network architecture for advanced endoscopic image classification of gastrointestinal disorders.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 19 > cap 12)
40564799,Edge Artificial Intelligence Device in Real-Time Endoscopy for the Classification of Colonic Neoplasms.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 20 > cap 12)
40567777,Deep ensemble learning for gastrointestinal diagnosis using endoscopic image classification.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 21 > cap 12)
40779134,Automatic surgical skill assessment using a task classification model in laparoscopic sigmoidectomy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 22 > cap 12)
41590889,Empirical Mode Decomposition-Based Deep Learning Model Development for Medical Imaging: Feasibility Study for Gastrointestinal Endoscopic Image Classification.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 23 > cap 12)
41647811,Evaluation of computer-aided detection for gastric cancer using white-light and linked-color imaging: a pilot study.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 24 > cap 12)
38480815,Improving image classification of gastrointestinal endoscopy using curriculum self-supervised learning.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 25 > cap 12)
38535012,Color-Transfer-Enhanced Data Construction and Validation for Deep Learning-Based Upper Gastrointestinal Landmark Classification in Wireless Capsule Endoscopy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 26 > cap 12)
38535863,A Preliminary Study Assessing a Transfer Learning Approach to Intestinal Image Analysis to Help Determine Treatment Response in Canine Protein-Losing Enteropathy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 27 > cap 12)
39430485,Evaluation of super resolution technology for digestive endoscopic images.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 28 > cap 12)
37122318,MIB-ANet: A novel multi-scale deep network for nasal endoscopy-based adenoid hypertrophy grading.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 29 > cap 12)
37228164,Investigation of artificial intelligence integrated fluorescence endoscopy image analysis with indocyanine green for interpretation of precancerous lesions in colon cancer.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 30 > cap 12)
37558826,Development of a deep learning model for safe direct optical trocar insertion in minimally invasive surgery: an innovative method to prevent trocar injuries.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 31 > cap 12)
37568599,Preparing Well for Esophageal Endoscopic Detection Using a Hybrid Model and Transfer Learning.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 32 > cap 12)
38098015,Wireless capsule endoscopy multiclass classification using three-dimensional deep convolutional neural network model.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 33 > cap 12)
35761840,Efficacy of Digestive Endoscope Based on Artificial Intelligence System in Diagnosing Early Esophageal Carcinoma.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 34 > cap 12)
34157030,Artificial intelligence-based endoscopic diagnosis of colorectal polyps using residual networks.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 35 > cap 12)
34943421,Impact of Image Resolution on Deep Learning Performance in Endoscopy Image Classification: An Experimental Study Using a Large Dataset of Endoscopic Images.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 36 > cap 12)
32377939,Deep learning-based anatomical site classification for upper gastrointestinal endoscopy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 37 > cap 12)
32746146,Zoom in Lesions for Better Diagnosis: Attention Guided Deformation Network for WCE Image Classification.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 38 > cap 12)
32935249,Robust endocytoscopic image classification based on higher-order symmetric tensor analysis and multi-scale topological statistics.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 39 > cap 12)
33319126,Artificial intelligence in gastrointestinal endoscopy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 40 > cap 12)
32038853,Upper gastrointestinal anatomy detection with multi-task convolutional neural networks.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 41 > cap 12)
29060286,Exploring transfer learning for gastrointestinal bleeding detection on small-size imbalanced endoscopy images.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 42 > cap 12)
41139585,"Artificial Intelligence in Digestive Endoscopy Training-The Past, Present, and Future.",T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 43 > cap 12)
42072788,A Reproducible COCO-Polygon Quality-Control Pipeline Improves Segmentation Stability in Endoscopic Airway Imaging.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 44 > cap 12)
42330836,Adaptive distribution-aware transformer for multi-scale visual representation learning on imbalanced and low-resolution data.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 45 > cap 12)
39622290,Toward automated small bowel capsule endoscopy reporting using a summarizing machine learning algorithm: The SUM UP study.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 46 > cap 12)
39753827,Combining the Variational and Deep Learning Techniques for Classification of Video Capsule Endoscopic Images.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 47 > cap 12)
40218255,Artificial Intelligence in Inflammatory Bowel Disease Endoscopy.,T1 Landmark recognition in UGI endoscopy,Below per-theme relevance cap (rank 48 > cap 12)
